algo,tune_args,tunes,fc,rm,trees,nodesize,combo,best,auc_po,ODP,CBI_rescale,IMAE,auc_po_flexsdm,CBI,n_p_test,n_p_train,n_a_train,mtry,max_kappa,max_spec_sens,no_omission,equal_prevalence,equal_sens_spec
maxnet,fc: lq. rm: 2,5,lq,2,,,0.373468097702587,FALSE,0.717415080027849,0.969540483126271,0.931814769267484,0.558667514323867,0.717415080027849,0.863629538534968,18.8,75.2,2417.6,,0.773224338,0.50623809,0.209565256,0.042095724,0.567952006
maxnet,fc: lqp. rm: 1,5,lqp,1,,,0.373213390025724,FALSE,0.713225578220022,0.969540483126271,0.936496475190237,0.558758522057307,0.713225578220022,0.872992950380474,18.8,75.2,2417.6,,0.761611234,0.499321478,0.200145718,0.040906764,0.566807096
maxnet,fc: lq. rm: 2.5,5,lq,2.5,,,0.371653114743416,FALSE,0.71650902696954,0.969540483126271,0.935496748664105,0.554464605769488,0.71650902696954,0.87099349732821,18.8,75.2,2417.6,,0.80140209,0.509606024,0.215513678,0.04438874,0.573607372
maxnet,fc: lqp. rm: 1.5,5,lqp,1.5,,,0.370659519348102,FALSE,0.712790533524593,0.969540483126271,0.944832749133029,0.550374491093776,0.712790533524593,0.889665498266059,18.8,75.2,2417.6,,0.753365864,0.477348072,0.213826938,0.045637662,0.580048466
maxnet,fc: q. rm: 1.5,5,q,1.5,,,0.370388877166817,FALSE,0.712279910339526,0.969540483126271,0.935139439283566,0.556071794820913,0.712279910339526,0.870278878567132,18.8,75.2,2417.6,,0.795682882,0.494596382,0.207168456,0.03980581,0.57989672
maxnet,fc: lq. rm: 3,5,lq,3,,,0.369963479511274,FALSE,0.715832163730153,0.969540483126271,0.940003357994827,0.549817099100332,0.715832163730153,0.880006715989653,18.8,75.2,2417.6,,0.76836204,0.486838616,0.221118392,0.046155632,0.578862398
maxnet,fc: l. rm: 1,5,l,1,,,0.369166110022519,FALSE,0.71139235475513,0.969540483126271,0.924677618330002,0.561205974796431,0.71139235475513,0.849355236660004,18.8,75.2,2417.6,,0.81382976,0.522584086,0.181912326,0.050715324,0.56697254
maxnet,fc: q. rm: 2,5,q,2,,,0.367815580194073,FALSE,0.710966780314685,0.969540483126271,0.936824294931445,0.552233397024174,0.710966780314685,0.87364858986289,18.8,75.2,2417.6,,0.761252264,0.47835769,0.21262123,0.041427038,0.583538682
maxnet,fc: qh. rm: 1.5,5,qh,1.5,,,0.367507812487708,FALSE,0.686020994239687,0.969540483126271,0.935416911787769,0.572695738834952,0.686020994239687,0.870833823575538,18.8,75.2,2417.6,,0.811684588,0.447285598,0.168977444,0.0340329,0.535147626
maxnet,fc: l. rm: 1.5,5,l,1.5,,,0.367189836166281,FALSE,0.710374688730487,0.969540483126271,0.926924685198985,0.557646170984815,0.710374688730487,0.853849370397971,18.8,75.2,2417.6,,0.80925541,0.529910456,0.187153672,0.052644106,0.572467718
maxnet,fc: lq. rm: 3.5,5,lq,3.5,,,0.367126546243688,FALSE,0.713565195330296,0.969540483126271,0.943770306213039,0.545149754420949,0.713565195330296,0.887540612426079,18.8,75.2,2417.6,,0.767948816,0.495282564,0.226665836,0.048429452,0.585420672
maxnet,fc: l. rm: 2,5,l,2,,,0.365739020244104,FALSE,0.709414269030042,0.969540483126271,0.930104266775252,0.554293442733063,0.709414269030042,0.860208533550505,18.8,75.2,2417.6,,0.778805876,0.532687574,0.192342254,0.055016348,0.57663848
maxnet,fc: q. rm: 2.5,5,q,2.5,,,0.364500895084388,FALSE,0.709172211308527,0.969540483126271,0.936687010071015,0.548722024356747,0.709172211308527,0.87337402014203,18.8,75.2,2417.6,,0.761630858,0.478273596,0.218057154,0.04331976,0.584877876
maxnet,fc: lq. rm: 4,5,lq,4,,,0.364376853898442,FALSE,0.711824065239261,0.969540483126271,0.946847970284354,0.54062716342616,0.711824065239261,0.893695940568707,18.8,75.2,2417.6,,0.767124252,0.501733112,0.232146944,0.050212232,0.591962592
maxnet,fc: l. rm: 2.5,5,l,2.5,,,0.362965345499673,FALSE,0.708341569061823,0.969540483126271,0.930813278877688,0.550503219121403,0.708341569061823,0.861626557755377,18.8,75.2,2417.6,,0.758608646,0.487881932,0.197474986,0.056966704,0.581512426
maxnet,fc: lqp. rm: 2,5,lqp,2,,,0.362372964657657,FALSE,0.710383447626581,0.969540483126271,0.94141853641754,0.541851413024905,0.710383447626581,0.88283707283508,18.8,75.2,2417.6,,0.767113416,0.496525928,0.22654261,0.050208432,0.58819045
maxnet,fc: q. rm: 3,5,q,3,,,0.361165213876834,FALSE,0.706902144722235,0.969540483126271,0.937198690327382,0.54514865089959,0.706902144722235,0.874397380654764,18.8,75.2,2417.6,,0.789476202,0.486875116,0.223526424,0.044671242,0.587067162
maxnet,fc: l. rm: 3,5,l,3,,,0.360125532750763,FALSE,0.707366246487626,0.969540483126271,0.931463128008349,0.546567637143625,0.707366246487626,0.862926256016699,18.8,75.2,2417.6,,0.771959086,0.480577026,0.20262381,0.059410902,0.585883636
maxnet,fc: lq. rm: 4.5,5,lq,4.5,,,0.359296060196273,FALSE,0.709346747374312,0.969540483126271,0.944582665962445,0.536233450263859,0.709346747374312,0.889165331924891,18.8,75.2,2417.6,,0.762937602,0.500317806,0.23766429,0.052438856,0.596488602
maxnet,fc: q. rm: 3.5,5,q,3.5,,,0.357892963052216,FALSE,0.705635195468457,0.969540483126271,0.936568004554539,0.541543824711722,0.705635195468457,0.873136009109078,18.8,75.2,2417.6,,0.799999464,0.493720916,0.22891674,0.046284164,0.588556352
maxnet,fc: l. rm: 3.5,5,l,3.5,,,0.356593957074941,FALSE,0.705618529450126,0.969540483126271,0.931104297085597,0.54275729769713,0.705618529450126,0.862208594171194,18.8,75.2,2417.6,,0.775427228,0.486951888,0.207767906,0.061299004,0.590324482
maxnet,fc: qh. rm: 2,5,qh,2,,,0.356577217192087,FALSE,0.684644538608679,0.969540483126271,0.926436359478592,0.562176712966178,0.684644538608679,0.852872718957185,18.8,75.2,2417.6,,0.759788804,0.465326028,0.17959584,0.036583422,0.562965556
maxnet,fc: lqp. rm: 2.5,5,lqp,2.5,,,0.356143526712763,FALSE,0.707144248854288,0.969540483126271,0.943250876429277,0.533936762629362,0.707144248854288,0.886501752858554,18.8,75.2,2417.6,,0.76221529,0.512644782,0.237080548,0.056087648,0.597513886
maxnet,fc: lq. rm: 5,5,lq,5,,,0.354942999647952,FALSE,0.706801936618885,0.969540483126271,0.943929867807832,0.532011666676074,0.706801936618885,0.887859735615663,18.8,75.2,2417.6,,0.756540324,0.502145822,0.24314628,0.055046878,0.599933212
maxnet,fc: q. rm: 4,5,q,4,,,0.354384241367958,FALSE,0.703845243999062,0.969540483126271,0.935793798936482,0.538043090050882,0.703845243999062,0.871587597872964,18.8,75.2,2417.6,,0.797372852,0.497946188,0.234200874,0.046426754,0.594690078
maxnet,fc: l. rm: 4,5,l,4,,,0.353460551886933,FALSE,0.704019750846914,0.969540483126271,0.931409528142934,0.539033096610151,0.704019750846914,0.862819056285868,18.8,75.2,2417.6,,0.774826844,0.480675412,0.212974536,0.06388839,0.592459828
maxnet,fc: q. rm: 4.5,5,q,4.5,,,0.352057591071199,FALSE,0.703933637793788,0.969540483126271,0.935528423744053,0.534595141322844,0.703933637793788,0.871056847488106,18.8,75.2,2417.6,,0.795808286,0.50335086,0.239027842,0.048537664,0.600409288
maxnet,fc: qh. rm: 2.5,5,qh,2.5,,,0.351647978665474,FALSE,0.69038338721717,0.969540483126271,0.915698581557272,0.556243887435242,0.69038338721717,0.831397163114544,18.8,75.2,2417.6,,0.768325678,0.468100228,0.192236062,0.03777375,0.568754186
maxnet,fc: lqhp. rm: 1.5,5,lqhp,1.5,,,0.351255383041396,FALSE,0.691990110529371,0.969540483126271,0.906153802254333,0.560171724832853,0.691990110529371,0.812307604508666,18.8,75.2,2417.6,,0.794183214,0.517992888,0.176877006,0.043806354,0.54669648
maxnet,fc: qhp. rm: 1.5,5,qhp,1.5,,,0.351215884178417,FALSE,0.690434646779477,0.969540483126271,0.908025644498966,0.560213355881911,0.690434646779477,0.816051288997932,18.8,75.2,2417.6,,0.811594898,0.471161416,0.177720492,0.04244441,0.545209216
maxnet,fc: lq. rm: 5.5,5,lq,5.5,,,0.350808118701813,FALSE,0.706301037384556,0.969540483126271,0.940510977079349,0.528099702411362,0.706301037384556,0.881021954158698,18.8,75.2,2417.6,,0.773389482,0.502279576,0.24843674,0.056264718,0.601860808
maxnet,fc: q. rm: 5,5,q,5,,,0.350724999846058,FALSE,0.704135497930893,0.969540483126271,0.937256101824966,0.531437514215842,0.704135497930893,0.874512203649931,18.8,75.2,2417.6,,0.793259684,0.504800724,0.243479776,0.050615946,0.603441546
maxnet,fc: q. rm: 5.5,5,q,5.5,,,0.350258109203432,FALSE,0.704543463200512,0.969540483126271,0.940733332937914,0.528462136742923,0.704543463200512,0.881466665875829,18.8,75.2,2417.6,,0.790456668,0.509070452,0.247520006,0.052586484,0.60736207
maxnet,fc: lq. rm: 6,5,lq,6,,,0.349663845220243,FALSE,0.705730100088263,0.969540483126271,0.944382565395412,0.524643295637866,0.705730100088263,0.888765130790825,18.8,75.2,2417.6,,0.772640756,0.510716378,0.253419288,0.058577968,0.60587258
maxnet,fc: lqp. rm: 3,5,lqp,3,,,0.349392361738249,FALSE,0.705497711074468,0.969540483126271,0.940687979086656,0.526468271790392,0.705497711074468,0.881375958173312,18.8,75.2,2417.6,,0.7547049,0.502524016,0.246961316,0.060180652,0.601271922
