algo,tune_args,fc,rm,trees,nodesize,n_p_test,n_p_train,n_a_train,mtry,np,na,prevalence,auc,cor,pcor,ODP,auc_po,auc_po_flexsdm,CBI,CBI_rescale,IMAE,tunes
maxnet,fc: l. rm: 4.5,l,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.887022281174555,0.309359973364034,3.49016183438027e-39,0.950423113830567,0.887022281174555,0.887022281174555,0.827224541946899,0.913612270973449,0.836787846136713,2
maxnet,fc: l. rm: 5,l,5,,,64,64,2475,,64,2475,0.0495768861694327,0.88668920824531,0.310140026152454,2.54671403889154e-39,0.950423113830567,0.88668920824531,0.88668920824531,0.825112888151199,0.9125564440756,0.834492889426764,2
maxnet,fc: l. rm: 5.5,l,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.886497168099711,0.310548084416074,2.48272422987594e-39,0.950423113830567,0.886497168099711,0.886497168099711,0.835859853378312,0.917929926689156,0.83214250786316,2
maxnet,fc: l. rm: 6,l,6,,,64,64,2475,,64,2475,0.0495768861694327,0.886149896583925,0.310596925923513,3.15084977011382e-39,0.950423113830567,0.886149896583925,0.886149896583925,0.847254623955408,0.923627311977704,0.829790061798824,2
maxnet,fc: lq. rm: 1,lq,1,,,64,64,2475,,64,2475,0.0495768861694327,0.901628294137657,0.335380585458549,8.37458516520291e-46,0.950423113830567,0.901628294137657,0.901628294137657,0.863156754356671,0.931578377178336,0.84984238773697,2
maxnet,fc: lq. rm: 1.5,lq,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.890752386700351,0.309857216760412,2.58205728257308e-34,0.950423113830567,0.890752386700351,0.890752386700351,0.901362777075556,0.950681388537778,0.845554382239045,2
maxnet,fc: lq. rm: 2,lq,2,,,64,64,2475,,64,2475,0.0495768861694327,0.882498088036378,0.292386693305163,5.87097260830617e-29,0.950423113830567,0.882498088036378,0.882498088036378,0.86310900314697,0.931554501573485,0.842937776908666,2
maxnet,fc: lq. rm: 2.5,lq,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.880870362833155,0.290159481883555,5.3823467585615e-28,0.950423113830567,0.880870362833155,0.880870362833155,0.871546253649743,0.935773126824871,0.839651276161857,2
maxnet,fc: lq. rm: 3,lq,3,,,64,64,2475,,64,2475,0.0495768861694327,0.879272390102765,0.28778227741374,1.35246391091158e-27,0.950423113830567,0.879272390102765,0.879272390102765,0.887021889400632,0.943510944700316,0.836861913520884,2
maxnet,fc: lq. rm: 3.5,lq,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.876692473555887,0.280785897270604,3.47256318507293e-27,0.950423113830567,0.876692473555887,0.876692473555887,0.857229258157795,0.928614629078898,0.835851560605508,2
maxnet,fc: lq. rm: 4,lq,4,,,64,64,2475,,64,2475,0.0495768861694327,0.875532714411948,0.279793728714789,8.56969426228221e-27,0.950423113830567,0.875532714411948,0.875532714411948,0.862094629990619,0.931047314995309,0.833384135932592,2
maxnet,fc: lq. rm: 4.5,lq,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.874730771890251,0.279161990338498,1.76109126353635e-26,0.950423113830567,0.874730771890251,0.874730771890251,0.873784294372438,0.936892147186219,0.830819597982657,2
maxnet,fc: lq. rm: 5,lq,5,,,64,64,2475,,64,2475,0.0495768861694327,0.873631348359568,0.278720061764402,4.85053475619672e-26,0.950423113830567,0.873631348359568,0.873631348359568,0.883046858198415,0.941523429099207,0.828184064736773,2
maxnet,fc: lq. rm: 5.5,lq,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.873093118023361,0.279940214609483,1.28953917174233e-25,0.950423113830567,0.873093118023361,0.873093118023361,0.893537525626435,0.946768762813218,0.825634834981037,2
maxnet,fc: lq. rm: 6,lq,6,,,64,64,2475,,64,2475,0.0495768861694327,0.871534291596128,0.279645214797726,2.04403710396623e-24,0.950423113830567,0.871534291596128,0.871534291596128,0.90973161606682,0.95486580803341,0.822785605127458,2
maxnet,fc: lqhp. rm: 1,lqhp,1,,,64,64,2475,,64,2475,0.0495768861694327,0.870123421639769,0.265088529472728,1.00521281678986e-25,0.950423113830567,0.870123421639769,0.870123421639769,0.682833705250352,0.841416852625176,0.862573455623171,2
maxnet,fc: lqhp. rm: 1.5,lqhp,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.866293120114895,0.261399513264862,4.30174789586128e-24,0.950423113830567,0.866293120114895,0.866293120114895,0.644463273136707,0.822231636568354,0.8569662963848,2
maxnet,fc: lqhp. rm: 2,lqhp,2,,,64,64,2475,,64,2475,0.0495768861694327,0.866597967833823,0.261718752119549,2.04759247635775e-25,0.950423113830567,0.866597967833823,0.866597967833823,0.583136673717394,0.791568336858697,0.856040805808803,2
maxnet,fc: lqhp. rm: 2.5,lqhp,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.86871430774384,0.265279731918163,7.28540117458982e-27,0.950423113830567,0.86871430774384,0.86871430774384,0.571673989535504,0.785836994767752,0.853075901416997,2
maxnet,fc: lqhp. rm: 3,lqhp,3,,,64,64,2475,,64,2475,0.0495768861694327,0.869411597807704,0.267264963358531,1.46447599693118e-27,0.950423113830567,0.869411597807704,0.869411597807704,0.557116669922098,0.778558334961049,0.849775468624717,2
maxnet,fc: lqhp. rm: 3.5,lqhp,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.87086469336655,0.269766632903839,1.08267637989153e-28,0.950423113830567,0.87086469336655,0.87086469336655,0.549659840655914,0.774829920327957,0.847119336135026,2
maxnet,fc: lqhp. rm: 4,lqhp,4,,,64,64,2475,,64,2475,0.0495768861694327,0.872549298897318,0.27330676097436,7.59250393434444e-30,0.950423113830567,0.872549298897318,0.872549298897318,0.56941033161208,0.78470516580604,0.844681929144325,2
maxnet,fc: lqhp. rm: 4.5,lqhp,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.873274986134264,0.27562996879472,2.28636179702695e-30,0.950423113830567,0.873274986134264,0.873274986134264,0.598813147385433,0.799406573692716,0.841606746694204,2
maxnet,fc: lqhp. rm: 5,lqhp,5,,,64,64,2475,,64,2475,0.0495768861694327,0.873113351337077,0.276782894017433,2.64431939320312e-30,0.950423113830567,0.873113351337077,0.873113351337077,0.655830656978379,0.827915328489189,0.837356006694735,2
maxnet,fc: lqhp. rm: 5.5,lqhp,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.872562175702272,0.277414823373372,4.09691988017248e-30,0.950423113830567,0.872562175702272,0.872562175702272,0.711009110983965,0.855504555491982,0.832892365445927,2
maxnet,fc: lqhp. rm: 6,lqhp,6,,,64,64,2475,,64,2475,0.0495768861694327,0.872128970895658,0.277768025542871,7.06854923930686e-30,0.950423113830567,0.872128970895658,0.872128970895658,0.766648566427973,0.883324283213987,0.828337053793139,2
maxnet,fc: lqp. rm: 1,lqp,1,,,64,64,2475,,64,2475,0.0495768861694327,0.893542622451741,0.321043320178796,7.44676260907488e-41,0.950423113830567,0.893542622451741,0.893542622451741,0.807409476564223,0.903704738282111,0.866114926665521,2
maxnet,fc: lqp. rm: 1.5,lqp,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.892890839855998,0.31768700010345,2.52685924084003e-43,0.950423113830567,0.892890839855998,0.892890839855998,0.879466441087942,0.939733220543971,0.857206970302928,2
maxnet,fc: lqp. rm: 2,lqp,2,,,64,64,2475,,64,2475,0.0495768861694327,0.886427358503995,0.301646483947599,3.97270365253972e-35,0.950423113830567,0.886427358503995,0.886427358503995,0.901461025371429,0.950730512685714,0.846241336596265,2
maxnet,fc: lqp. rm: 2.5,lqp,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.886168328660551,0.301625570390791,1.40663520269823e-35,0.950423113830567,0.886168328660551,0.886168328660551,0.923876581210769,0.961938290605385,0.84260357998497,2
maxnet,fc: lqp. rm: 3,lqp,3,,,64,64,2475,,64,2475,0.0495768861694327,0.884035752842431,0.298732920210254,9.52475104270517e-35,0.950423113830567,0.884035752842431,0.884035752842431,0.933546153285213,0.966773076642607,0.837632613515272,2
maxnet,fc: lqp. rm: 3.5,lqp,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.880872774683789,0.294260636511579,1.04955904945926e-33,0.950423113830567,0.880872774683789,0.880872774683789,0.909625096729279,0.95481254836464,0.832450234856597,2
maxnet,fc: lqp. rm: 4,lqp,4,,,64,64,2475,,64,2475,0.0495768861694327,0.875578704250195,0.286552159382746,8.0584624176302e-31,0.950423113830567,0.875578704250195,0.875578704250195,0.905681075968337,0.952840537984168,0.82647295441976,2
maxnet,fc: lqp. rm: 4.5,lqp,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.87485014173754,0.287668138199509,8.64337407359001e-30,0.950423113830567,0.87485014173754,0.87485014173754,0.917064689491441,0.95853234474572,0.820123984043913,2
maxnet,fc: lqp. rm: 5,lqp,5,,,64,64,2475,,64,2475,0.0495768861694327,0.874596638019536,0.289033737450933,2.2761011945658e-29,0.950423113830567,0.874596638019536,0.874596638019536,0.918076518409486,0.959038259204743,0.814471529224926,2
maxnet,fc: lqp. rm: 5.5,lqp,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.874804182502834,0.29031037648253,2.66407645802594e-29,0.950423113830567,0.874804182502834,0.874804182502834,0.911238412607065,0.955619206303533,0.809330780120092,2
maxnet,fc: lqp. rm: 6,lqp,6,,,64,64,2475,,64,2475,0.0495768861694327,0.874858780680474,0.290116224195887,4.21260208056062e-29,0.950423113830567,0.874858780680474,0.874858780680474,0.912936378017351,0.956468189008675,0.804505742251116,2
maxnet,fc: q. rm: 1,q,1,,,64,64,2475,,64,2475,0.0495768861694327,0.864712171698163,0.26151909712861,3.63109830936436e-22,0.950423113830567,0.864712171698163,0.864712171698163,0.695782506522153,0.847891253261076,0.831858432015718,2
maxnet,fc: q. rm: 1.5,q,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.864585037294876,0.265094203855124,5.56812161762628e-22,0.950423113830567,0.864585037294876,0.864585037294876,0.719151879740085,0.859575939870043,0.827883530277897,2
maxnet,fc: q. rm: 2,q,2,,,64,64,2475,,64,2475,0.0495768861694327,0.864454124082711,0.268642497636483,8.54131369001801e-22,0.950423113830567,0.864454124082711,0.864454124082711,0.742314707712308,0.871157353856154,0.823982798493093,2
