algo,tune_args,tunes,fc,rm,trees,nodesize,combo,best,auc_po,ODP,CBI_rescale,IMAE,auc_po_flexsdm,CBI,n_p_test,n_p_train,n_a_train,mtry,max_kappa,max_spec_sens,no_omission,equal_prevalence,equal_sens_spec
maxnet,fc: qhp. rm: 1,2,qhp,1,,,0.618606833516046,FALSE,0.878885442636494,0.904954804503903,0.835725618344819,0.842206767448261,0.878885442636494,0.671451236689639,64,64,851.5,,0.312223795,0.08686336,0.014991405,0.097317145,0.210277045
maxnet,fc: lqhp. rm: 1,2,lqhp,1,,,0.610358981749611,FALSE,0.879105568422657,0.904954804503903,0.824594397423348,0.841984175132493,0.879105568422657,0.649188794846697,64,64,851.5,,0.318385675,0.087966185,0.014982885,0.094027135,0.20799981
maxnet,fc: h. rm: 1,2,h,1,,,0.596680518038833,FALSE,0.86133980950133,0.904954804503903,0.828291225552468,0.836342713323411,0.86133980950133,0.656582451104937,64,64,851.5,,0.381496915,0.061393225,0.00778896,0.09517551,0.17780217
maxnet,fc: lqp. rm: 1,2,lqp,1,,,0.59637342600581,FALSE,0.87077808675213,0.904954804503903,0.833625913217524,0.821560566563247,0.87077808675213,0.667251826435048,64,64,851.5,,0.41492729,0.12387246,0.0119209,0.0958709,0.3664587
maxnet,fc: lqhp. rm: 1.5,2,lqhp,1.5,,,0.565993954758255,FALSE,0.863894195543885,0.904954804503903,0.786230591179491,0.833299841034173,0.863894195543885,0.572461182358983,64,64,851.5,,0.33161301,0.06911289,0.012676215,0.09743371,0.222749805
maxnet,fc: qhp. rm: 1.5,2,qhp,1.5,,,0.558342102741629,FALSE,0.863752686109923,0.904954804503903,0.775660471173869,0.833372772147796,0.863752686109923,0.551320942347737,64,64,851.5,,0.329376335,0.068393255,0.01268005,0.096484795,0.221792945
maxnet,fc: q. rm: 1,2,q,1,,,0.55096051233794,FALSE,0.837943878128058,0.904954804503903,0.82238488625508,0.799522004838144,0.837943878128058,0.64476977251016,64,64,851.5,,0.28375274,0.204670635,0.019468355,0.090544515,0.31806128
maxnet,fc: lq. rm: 1,2,lq,1,,,0.549021574635665,FALSE,0.86051204508239,0.904954804503903,0.76736707039176,0.831436906952078,0.86051204508239,0.534734140783519,64,64,851.5,,0.18697007,0.13421705,0.004083655,0.094879495,0.26349759
maxnet,fc: q. rm: 1.5,2,q,1.5,,,0.544875265882735,FALSE,0.834415300868898,0.904954804503903,0.82203039737512,0.794377541458006,0.834415300868898,0.64406079475024,64,64,851.5,,0.25943658,0.20579463,0.02618428,0.097803095,0.318587865
maxnet,fc: q. rm: 3,2,q,3,,,0.54238807557338,FALSE,0.826520006294226,0.904954804503903,0.836252211325405,0.784728604302176,0.826520006294226,0.672504422650809,64,64,851.5,,0.28456824,0.20568109,0.038899495,0.094481595,0.317795565
maxnet,fc: q. rm: 4.5,2,q,4.5,,,0.538567112047939,FALSE,0.816937318364878,0.904954804503903,0.847674132025355,0.777718023388982,0.816937318364878,0.695348264050711,64,64,851.5,,0.258043915,0.19700888,0.047214815,0.095006415,0.31651615
maxnet,fc: q. rm: 2.5,2,q,2.5,,,0.537743076443867,FALSE,0.829015310211889,0.904954804503903,0.823755856521427,0.787433271377946,0.829015310211889,0.647511713042854,64,64,851.5,,0.285167035,0.206984305,0.03543911,0.09214115,0.318153455
maxnet,fc: q. rm: 2,2,q,2,,,0.537184002103103,FALSE,0.831548858925753,0.904954804503903,0.817145088729366,0.790562343029649,0.831548858925753,0.634290177458732,64,64,851.5,,0.25923222,0.206362105,0.031317755,0.094902085,0.316944065
maxnet,fc: q. rm: 3.5,2,q,3.5,,,0.534753492396316,FALSE,0.823394038188247,0.904954804503903,0.830115240531672,0.782361596122288,0.823394038188247,0.660230481063344,64,64,851.5,,0.255197325,0.2036122,0.0417608,0.094035115,0.316088745
maxnet,fc: q. rm: 4,2,q,4,,,0.532213123326469,FALSE,0.819790950575577,0.904954804503903,0.83228604315838,0.78002738013061,0.819790950575577,0.66457208631676,64,64,851.5,,0.25768749,0.21100259,0.04446907,0.094899485,0.31695379
maxnet,fc: q. rm: 5,2,q,5,,,0.530934718082732,FALSE,0.814188315360369,0.904954804503903,0.840867875411923,0.775511957671577,0.814188315360369,0.681735750823845,64,64,851.5,,0.25844069,0.197594565,0.049746905,0.096494865,0.319239295
maxnet,fc: qh. rm: 6,2,qh,6,,,0.529334052336768,FALSE,0.82642208928949,0.904954804503903,0.809327476592538,0.791413823108469,0.82642208928949,0.618654953185075,64,64,851.5,,0.234286525,0.15470156,0.015579015,0.09521844,0.30305502
maxnet,fc: lqhp. rm: 6,2,lqhp,6,,,0.529295046007148,FALSE,0.838737577509945,0.904954804503903,0.798344997731845,0.790462223817798,0.838737577509945,0.596689995463691,64,64,851.5,,0.260275995,0.2025513,0.026271295,0.09429544,0.38720915
maxnet,fc: lq. rm: 1.5,2,lq,1.5,,,0.528819638455044,FALSE,0.852765070490409,0.904954804503903,0.753625155083885,0.822854001526855,0.852765070490409,0.507250310167769,64,64,851.5,,0.22143448,0.12594916,0.00488788,0.096823385,0.317670435
maxnet,fc: qh. rm: 5.5,2,qh,5.5,,,0.5247961463795,FALSE,0.827727071562394,0.904954804503903,0.798453465696251,0.794061002310435,0.827727071562394,0.596906931392502,64,64,851.5,,0.232981645,0.187356205,0.0146003,0.095214865,0.300859005
maxnet,fc: lq. rm: 3,2,lq,3,,,0.524776797089153,FALSE,0.844783931038892,0.904954804503903,0.769397868863401,0.807380026092337,0.844783931038892,0.538795737726802,64,64,851.5,,0.227213215,0.15026314,0.012250975,0.086166075,0.373549925
maxnet,fc: lqhp. rm: 5.5,2,lqhp,5.5,,,0.524471209959071,FALSE,0.839011855763888,0.904954804503903,0.788310872851977,0.79296868842623,0.839011855763888,0.576621745703954,64,64,851.5,,0.24531342,0.188169895,0.02511431,0.08993935,0.377345975
maxnet,fc: qh. rm: 5,2,qh,5,,,0.524064810428586,FALSE,0.829062529196847,0.904954804503903,0.793352467976075,0.796767360424114,0.829062529196847,0.58670493595215,64,64,851.5,,0.227650765,0.16456179,0.01369657,0.095061495,0.289497755
maxnet,fc: q. rm: 5.5,2,q,5.5,,,0.524051016912422,FALSE,0.811327700493212,0.904954804503903,0.835203868374014,0.77336545140149,0.811327700493212,0.670407736748027,64,64,851.5,,0.25900574,0.22434747,0.05229433,0.097274935,0.32042935
maxnet,fc: qhp. rm: 6,2,qhp,6,,,0.523447990920038,FALSE,0.838454558642021,0.904954804503903,0.790110846699018,0.790143520524267,0.838454558642021,0.580221693398036,64,64,851.5,,0.336793485,0.197461905,0.02642773,0.09479828,0.384027545
maxnet,fc: qhp. rm: 5.5,2,qhp,5.5,,,0.523097543267707,FALSE,0.838603050732441,0.904954804503903,0.786877587962052,0.792718633169796,0.838603050732441,0.573755175924103,64,64,851.5,,0.27242893,0.183037925,0.025268385,0.09130156,0.375314115
maxnet,fc: q. rm: 6,2,q,6,,,0.521774285599769,FALSE,0.808434667905842,0.904954804503903,0.83682816749469,0.771261145519483,0.808434667905842,0.673656334989381,64,64,851.5,,0.259030045,0.233663915,0.054753515,0.097977305,0.32087774
maxnet,fc: lqp. rm: 1.5,2,lqp,1.5,,,0.519789247269793,FALSE,0.855664913626507,0.904954804503903,0.748249255221248,0.811852764200111,0.855664913626507,0.496498510442495,64,64,851.5,,0.253597155,0.15160197,0.01492581,0.0974018,0.381339415
maxnet,fc: lq. rm: 4.5,2,lq,4.5,,,0.519578147772728,FALSE,0.841023979524097,0.904954804503903,0.769360901679337,0.802994159802539,0.841023979524097,0.538721803358673,64,64,851.5,,0.24857168,0.145652315,0.01537908,0.087200345,0.34812058
maxnet,fc: h. rm: 1.5,2,h,1.5,,,0.519577643411087,FALSE,0.847545657721982,0.904954804503903,0.742556973187611,0.825576974377961,0.847545657721982,0.485113946375222,64,64,851.5,,0.18509967,0.087373335,0.010001495,0.094831475,0.202782005
maxnet,fc: l. rm: 6,2,l,6,,,0.517611590116938,FALSE,0.840318214898629,0.904954804503903,0.782768526419556,0.786913252871077,0.840318214898629,0.565537052839112,64,64,851.5,,0.18032724,0.155846595,0.05605184,0.09688835,0.316674685
maxnet,fc: lq. rm: 5,2,lq,5,,,0.515957903675288,FALSE,0.839453803826693,0.904954804503903,0.76590580194439,0.802494581593749,0.839453803826693,0.531811603888781,64,64,851.5,,0.20256517,0.13515745,0.015628525,0.09674653,0.344119885
maxnet,fc: lqhp. rm: 5,2,lqhp,5,,,0.514468228701493,FALSE,0.838969726250363,0.904954804503903,0.770802247378117,0.79555332963932,0.838969726250363,0.541604494756234,64,64,851.5,,0.230213515,0.173946555,0.02409104,0.08694525,0.3646661
maxnet,fc: l. rm: 5.5,2,l,5.5,,,0.514321398197197,FALSE,0.840365569111088,0.904954804503903,0.776344391573515,0.788337022961527,0.840365569111088,0.55268878314703,64,64,851.5,,0.183212885,0.150200545,0.05576219,0.09373491,0.314870745
maxnet,fc: lq. rm: 2,2,lq,2,,,0.513937085276336,FALSE,0.848293219938926,0.904954804503903,0.742190656692413,0.816297522654326,0.848293219938926,0.484381313384826,64,64,851.5,,0.21943473,0.134666055,0.006942955,0.095430325,0.335485995
maxnet,fc: qhp. rm: 5,2,qhp,5,,,0.513427746994099,FALSE,0.838702430652878,0.904954804503903,0.769704145652606,0.795330446138412,0.838702430652878,0.539408291305213,64,64,851.5,,0.245676485,0.16912085,0.02417454,0.088928005,0.360498495
maxnet,fc: lq. rm: 3.5,2,lq,3.5,,,0.512620460711546,FALSE,0.843276070633012,0.904954804503903,0.75530747821447,0.804826699469087,0.843276070633012,0.51061495642894,64,64,851.5,,0.249480695,0.165807905,0.01471196,0.089977215,0.374241915
maxnet,fc: qh. rm: 4.5,2,qh,4.5,,,0.512336242291372,FALSE,0.830278998923097,0.904954804503903,0.771599440362789,0.799722144014064,0.830278998923097,0.543198880725577,64,64,851.5,,0.21643784,0.156044175,0.01275225,0.095524735,0.277275345
maxnet,fc: lqhp. rm: 4.5,2,lqhp,4.5,,,0.511562532708978,FALSE,0.839279913552746,0.904954804503903,0.763625539977048,0.798199505387466,0.839279913552746,0.527251079954097,64,64,851.5,,0.298694205,0.159105295,0.023071115,0.10150538,0.346578965
maxnet,fc: lqp. rm: 2.5,2,lqp,2.5,,,0.510974498622873,FALSE,0.841469259100811,0.904954804503903,0.75593223085707,0.803300631850489,0.841469259100811,0.511864461714141,64,64,851.5,,0.23106179,0.15786815,0.01978152,0.08922097,0.35967396
maxnet,fc: l. rm: 5,2,l,5,,,0.510512819898147,FALSE,0.84016969822139,0.904954804503903,0.769418129142208,0.789727430956854,0.84016969822139,0.538836258284416,64,64,851.5,,0.226434455,0.13486221,0.05546504,0.097400395,0.314288575
maxnet,fc: lq. rm: 2.5,2,lq,2.5,,,0.510249774265458,FALSE,0.845419451123864,0.904954804503903,0.744398709944738,0.810783634057937,0.845419451123864,0.488797419889476,64,64,851.5,,0.26157479,0.13006721,0.00951538,0.098946185,0.36114581
maxnet,fc: lqp. rm: 3,2,lqp,3,,,0.510132035618946,FALSE,0.839453816120102,0.904954804503903,0.757389221829566,0.802355195691961,0.839453816120102,0.514778443659133,64,64,851.5,,0.29875654,0.097603525,0.020065575,0.09983366,0.34349644
maxnet,fc: lq. rm: 4,2,lq,4,,,0.50998204488283,FALSE,0.842437500307335,0.904954804503903,0.75319612762722,0.803728033807593,0.842437500307335,0.50639225525444,64,64,851.5,,0.22061951,0.15870777,0.01512688,0.10160554,0.3658718
maxnet,fc: qhp. rm: 4.5,2,qhp,4.5,,,0.507163667728581,FALSE,0.839028341225702,0.904954804503903,0.757470709837122,0.798005085371045,0.839028341225702,0.514941419674243,64,64,851.5,,0.23219267,0.155076905,0.023176225,0.09904261,0.34922813
maxnet,fc: l. rm: 3.5,2,l,3.5,,,0.506296951444306,FALSE,0.84056585333471,0.904954804503903,0.758891575067195,0.793695352717251,0.84056585333471,0.517783150134389,64,64,851.5,,0.2002309,0.11921831,0.05485278,0.098123525,0.291235905
maxnet,fc: l. rm: 1.5,2,l,1.5,,,0.505573257523217,FALSE,0.841070940347461,0.904954804503903,0.752615090299668,0.798690546066948,0.841070940347461,0.505230180599337,64,64,851.5,,0.17961489,0.11656724,0.052379805,0.09535437,0.267292655
maxnet,fc: l. rm: 4,2,l,4,,,0.50480112334499,FALSE,0.840330791056299,0.904954804503903,0.758073867346315,0.792425622887293,0.840330791056299,0.516147734692631,64,64,851.5,,0.20446931,0.12418692,0.05509407,0.08848216,0.295567115
maxnet,fc: l. rm: 3,2,l,3,,,0.504606708861742,FALSE,0.84071783675336,0.904954804503903,0.755085290721175,0.794889478560488,0.84071783675336,0.510170581442351,64,64,851.5,,0.201956905,0.13361014,0.05467663,0.095775625,0.288161655
maxnet,fc: l. rm: 4.5,2,l,4.5,,,0.504575057290625,FALSE,0.840074571820556,0.904954804503903,0.759244847323967,0.791090347865878,0.840074571820556,0.518489694647934,64,64,851.5,,0.209280995,0.12959456,0.055276365,0.094923005,0.31034577
maxnet,fc: l. rm: 1,2,l,1,,,0.503729762955708,FALSE,0.840708542935961,0.904954804503903,0.748834404823102,0.80014069993481,0.840708542935961,0.497668809646205,64,64,851.5,,0.170811535,0.110000255,0.050744785,0.095064455,0.254430625
maxnet,fc: l. rm: 2.5,2,l,2.5,,,0.50231538297589,FALSE,0.841392572813863,0.904954804503903,0.749929748843173,0.796080933122201,0.841392572813863,0.499859497686347,64,64,851.5,,0.19646541,0.128702385,0.05447974,0.095655345,0.2821387
maxnet,fc: lqhp. rm: 2,2,lqhp,2,,,0.50095132124527,FALSE,0.851087597917005,0.904954804503903,0.71354335873471,0.824899225901895,0.851087597917005,0.427086717469421,64,64,851.5,,0.20119494,0.081847925,0.012310945,0.095315335,0.24997743
maxnet,fc: qhp. rm: 2,2,qhp,2,,,0.500777430136381,FALSE,0.851119044457885,0.904954804503903,0.713249532175571,0.824922108887551,0.851119044457885,0.426499064351143,64,64,851.5,,0.199542435,0.080981895,0.01231766,0.09516754,0.249392605
maxnet,fc: lq. rm: 5.5,2,lq,5.5,,,0.499100917615884,FALSE,0.83779220204464,0.904954804503903,0.742632827399591,0.802191233632674,0.83779220204464,0.485265654799182,64,64,851.5,,0.192012005,0.1251272,0.01582583,0.098613665,0.328346365
maxnet,fc: l. rm: 2,2,l,2,,,0.498796601217072,FALSE,0.841543978442278,0.904954804503903,0.743442541452851,0.797258686852399,0.841543978442278,0.486885082905702,64,64,851.5,,0.185692895,0.12336066,0.05408271,0.09212326,0.279354195
maxnet,fc: qh. rm: 1,2,qh,1,,,0.497223279086809,FALSE,0.855087885582781,0.904954804503903,0.695708389640274,0.835821347368065,0.855087885582781,0.391416779280548,64,64,851.5,,0.15104388,0.070368265,0.00694412,0.096076855,0.18152322
maxnet,fc: lqhp. rm: 4,2,lqhp,4,,,0.496597202551936,FALSE,0.840590907302777,0.904954804503903,0.736228304194623,0.80242984103162,0.840590907302777,0.472456608389245,64,64,851.5,,0.220608275,0.14119846,0.020243045,0.094061595,0.334322275
maxnet,fc: qhp. rm: 4,2,qhp,4,,,0.496050602674983,FALSE,0.840417951327934,0.904954804503903,0.735708429146521,0.802278085363215,0.840417951327934,0.471416858293043,64,64,851.5,,0.22033024,0.13815132,0.020286655,0.09688367,0.3338098
maxnet,fc: lqp. rm: 2,2,lqp,2,,,0.494887683351464,FALSE,0.847040742816961,0.904954804503903,0.725351602640057,0.805478161097614,0.847040742816961,0.450703205280113,64,64,851.5,,0.245874855,0.14454426,0.01946029,0.098067455,0.381793845
maxnet,fc: lqhp. rm: 2.5,2,lqhp,2.5,,,0.494423749667358,FALSE,0.844356759654014,0.904954804503903,0.716838784636576,0.816867927041478,0.844356759654014,0.433677569273152,64,64,851.5,,0.222159545,0.096055815,0.013902505,0.092653235,0.266316915
maxnet,fc: qhp. rm: 2.5,2,qhp,2.5,,,0.49277304456717,FALSE,0.844262420031373,0.904954804503903,0.714551433594981,0.816838106748435,0.844262420031373,0.429102867189961,64,64,851.5,,0.21989517,0.094286925,0.013944895,0.09398601,0.26465808
